date,product_id,product_name,category,is_perishable,shelf_life_days,quantity_sold,unit_price,cost_price,total_amount,day_of_week,is_weekend,is_holiday,month,year,week_of_year,temperature_avg,rainfall_mm,weather_condition,neighbourhood_activity,profit_margin,spoilage_risk_score,is_quantity_outlier,is_total_amount_outlier
2024-01-01,P001,Fresh Milk (1L),Dairy,True,3,46,85.0,63.0,3910.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.2588,0.4683,False,False
2024-01-02,P001,Fresh Milk (1L),Dairy,True,3,29,85.0,63.0,2465.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.2588,0.4863,False,False
2024-01-03,P001,Fresh Milk (1L),Dairy,True,3,28,85.0,63.0,2380.0,Wednesday,False,False,1,2024,1,19.1,4.2,Heavy Rain,2,0.2588,0.4663,False,False
2024-01-04,P001,Fresh Milk (1L),Dairy,True,3,24,85.0,63.0,2040.0,Thursday,False,False,1,2024,1,21.5,0.0,Sunny,2,0.2588,0.4383,False,False
2024-01-05,P001,Fresh Milk (1L),Dairy,True,3,30,85.0,63.0,2550.0,Friday,False,False,1,2024,1,20.7,0.0,Sunny,2,0.2588,0.4143,False,False
2024-01-06,P001,Fresh Milk (1L),Dairy,True,3,47,85.0,63.0,3995.0,Saturday,True,False,1,2024,1,23.2,0.0,Partly Cloudy,2,0.2588,0.4893,False,False
2024-01-07,P001,Fresh Milk (1L),Dairy,True,3,40,85.0,63.0,3400.0,Sunday,True,False,1,2024,1,23.7,0.0,Sunny,2,0.2588,0.5043,False,False
2024-01-08,P001,Fresh Milk (1L),Dairy,True,3,31,85.0,63.0,2635.0,Monday,False,False,1,2024,2,20.7,0.0,Partly Cloudy,2,0.2588,0.4143,False,False
2024-01-09,P001,Fresh Milk (1L),Dairy,True,3,20,85.0,63.0,1700.0,Tuesday,False,False,1,2024,2,20.6,0.0,Overcast,2,0.2588,0.4477,False,False
2024-01-10,P001,Fresh Milk (1L),Dairy,True,3,25,85.0,63.0,2125.0,Wednesday,False,False,1,2024,2,21.9,0.0,Partly Cloudy,2,0.2588,0.4503,False,False
2024-01-11,P001,Fresh Milk (1L),Dairy,True,3,21,85.0,63.0,1785.0,Thursday,False,False,1,2024,2,21.0,3.7,Heavy Rain,2,0.2588,0.5415,False,False
2024-01-12,P001,Fresh Milk (1L),Dairy,True,3,30,85.0,63.0,2550.0,Friday,False,False,1,2024,2,21.4,0.0,Sunny,2,0.2588,0.4353,False,False
2024-01-13,P001,Fresh Milk (1L),Dairy,True,3,41,85.0,63.0,3485.0,Saturday,True,False,1,2024,2,22.8,0.0,Sunny,2,0.2588,0.4773,False,False
2024-01-14,P001,Fresh Milk (1L),Dairy,True,3,24,85.0,63.0,2040.0,Sunday,True,False,1,2024,2,22.6,0.0,Partly Cloudy,2,0.2588,0.4713,False,False
2024-01-15,P001,Fresh Milk (1L),Dairy,True,3,36,85.0,63.0,3060.0,Monday,False,False,1,2024,3,25.2,2.1,Light Rain,1,0.2588,0.6493,False,False
2024-01-16,P001,Fresh Milk (1L),Dairy,True,3,21,85.0,63.0,1785.0,Tuesday,False,False,1,2024,3,20.8,0.0,Sunny,1,0.2588,0.4355,False,False
2024-01-17,P001,Fresh Milk (1L),Dairy,True,3,21,85.0,63.0,1785.0,Wednesday,False,False,1,2024,3,23.7,0.0,Sunny,1,0.2588,0.5225,False,False
2024-01-18,P001,Fresh Milk (1L),Dairy,True,3,27,85.0,63.0,2295.0,Thursday,False,False,1,2024,3,20.7,0.0,Sunny,1,0.2588,0.4143,False,False
2024-01-19,P001,Fresh Milk (1L),Dairy,True,3,25,85.0,63.0,2125.0,Friday,False,False,1,2024,3,23.0,0.0,Sunny,1,0.2588,0.4833,False,False
2024-01-20,P001,Fresh Milk (1L),Dairy,True,3,39,85.0,63.0,3315.0,Saturday,True,False,1,2024,3,22.8,0.0,Overcast,1,0.2588,0.4773,False,False
2024-01-21,P001,Fresh Milk (1L),Dairy,True,3,30,85.0,63.0,2550.0,Sunday,True,False,1,2024,3,22.3,0.0,Sunny,1,0.2588,0.4623,False,False
2024-01-22,P001,Fresh Milk (1L),Dairy,True,3,17,85.0,63.0,1445.0,Monday,False,False,1,2024,4,22.3,0.0,Partly Cloudy,1,0.2588,0.5532,False,False
2024-01-23,P001,Fresh Milk (1L),Dairy,True,3,19,85.0,63.0,1615.0,Tuesday,False,False,1,2024,4,22.3,0.0,Sunny,1,0.2588,0.5169,False,False
2024-01-24,P001,Fresh Milk (1L),Dairy,True,3,30,85.0,63.0,2550.0,Wednesday,False,False,1,2024,4,22.1,0.0,Partly Cloudy,1,0.2588,0.4563,False,False
2024-01-25,P001,Fresh Milk (1L),Dairy,True,3,27,85.0,63.0,2295.0,Thursday,False,False,1,2024,4,22.9,0.0,Partly Cloudy,1,0.2588,0.4803,False,False
2024-01-26,P001,Fresh Milk (1L),Dairy,True,3,24,85.0,63.0,2040.0,Friday,False,False,1,2024,4,21.5,0.0,Sunny,1,0.2588,0.4383,False,False
2024-01-27,P001,Fresh Milk (1L),Dairy,True,3,29,85.0,63.0,2465.0,Saturday,True,False,1,2024,4,21.0,0.0,Sunny,1,0.2588,0.4233,False,False
2024-01-28,P001,Fresh Milk (1L),Dairy,True,3,40,85.0,63.0,3400.0,Sunday,True,False,1,2024,4,24.2,0.0,Partly Cloudy,1,0.2588,0.5193,False,False
2024-01-29,P001,Fresh Milk (1L),Dairy,True,3,31,85.0,63.0,2635.0,Monday,False,False,1,2024,5,23.5,0.0,Partly Cloudy,1,0.2588,0.4983,False,False
2024-01-30,P001,Fresh Milk (1L),Dairy,True,3,22,85.0,63.0,1870.0,Tuesday,False,False,1,2024,5,21.5,0.0,Partly Cloudy,1,0.2588,0.4383,False,False
2024-01-31,P001,Fresh Milk (1L),Dairy,True,3,33,85.0,63.0,2805.0,Wednesday,False,False,1,2024,5,22.9,0.0,Partly Cloudy,1,0.2588,0.4803,False,False
2024-02-01,P001,Fresh Milk (1L),Dairy,True,3,22,85.0,63.0,1870.0,Thursday,False,False,2,2024,5,24.2,0.0,Sunny,1,0.2588,0.5193,False,False
2024-02-02,P001,Fresh Milk (1L),Dairy,True,3,27,85.0,63.0,2295.0,Friday,False,False,2,2024,5,22.3,0.0,Sunny,1,0.2588,0.4623,False,False
2024-02-03,P001,Fresh Milk (1L),Dairy,True,3,36,85.0,63.0,3060.0,Saturday,True,False,2,2024,5,22.7,0.0,Overcast,1,0.2588,0.4743,False,False
2024-02-04,P001,Fresh Milk (1L),Dairy,True,3,23,85.0,63.0,1955.0,Sunday,True,False,2,2024,5,21.3,0.0,Sunny,1,0.2588,0.4323,False,False
2024-02-05,P001,Fresh Milk (1L),Dairy,True,3,17,85.0,63.0,1445.0,Monday,False,False,2,2024,6,23.7,0.0,Sunny,1,0.2588,0.5952,False,False
2024-02-06,P001,Fresh Milk (1L),Dairy,True,3,29,85.0,63.0,2465.0,Tuesday,False,False,2,2024,6,24.0,0.0,Partly Cloudy,1,0.2588,0.5133,False,False
2024-02-07,P001,Fresh Milk (1L),Dairy,True,3,26,85.0,63.0,2210.0,Wednesday,False,False,2,2024,6,23.2,0.0,Partly Cloudy,1,0.2588,0.4893,False,False
2024-02-08,P001,Fresh Milk (1L),Dairy,True,3,25,85.0,63.0,2125.0,Thursday,False,False,2,2024,6,22.5,0.0,Overcast,1,0.2588,0.4683,False,False
2024-02-09,P001,Fresh Milk (1L),Dairy,True,3,25,85.0,63.0,2125.0,Friday,False,False,2,2024,6,22.0,0.0,Sunny,1,0.2588,0.4533,False,False
2024-02-10,P001,Fresh Milk (1L),Dairy,True,3,37,85.0,63.0,3145.0,Saturday,True,False,2,2024,6,22.4,0.0,Partly Cloudy,1,0.2588,0.4653,False,False
2024-02-11,P001,Fresh Milk (1L),Dairy,True,3,33,85.0,63.0,2805.0,Sunday,True,False,2,2024,6,23.7,0.0,Sunny,1,0.2588,0.5043,False,False
2024-02-12,P001,Fresh Milk (1L),Dairy,True,3,24,85.0,63.0,2040.0,Monday,False,False,2,2024,7,23.0,0.0,Sunny,1,0.2588,0.4833,False,False
2024-02-13,P001,Fresh Milk (1L),Dairy,True,3,17,85.0,63.0,1445.0,Tuesday,False,False,2,2024,7,23.7,0.0,Sunny,1,0.2588,0.5952,False,False
2024-02-14,P001,Fresh Milk (1L),Dairy,True,3,30,85.0,63.0,2550.0,Wednesday,False,False,2,2024,7,22.9,0.0,Sunny,1,0.2588,0.4803,False,False
2024-02-15,P001,Fresh Milk (1L),Dairy,True,3,26,85.0,63.0,2210.0,Thursday,False,False,2,2024,7,22.9,0.0,Sunny,1,0.2588,0.4803,False,False
2024-02-16,P001,Fresh Milk (1L),Dairy,True,3,20,85.0,63.0,1700.0,Friday,False,False,2,2024,7,20.8,0.0,Sunny,1,0.2588,0.4537,False,False
2024-02-17,P001,Fresh Milk (1L),Dairy,True,3,35,85.0,63.0,2975.0,Saturday,True,False,2,2024,7,21.5,15.4,Light Rain,1,0.2588,0.5383,False,False
2024-02-18,P001,Fresh Milk (1L),Dairy,True,3,28,85.0,63.0,2380.0,Sunday,True,False,2,2024,7,22.4,9.3,Light Rain,1,0.2588,0.5653,False,False
2024-02-19,P001,Fresh Milk (1L),Dairy,True,3,22,85.0,63.0,1870.0,Monday,False,False,2,2024,8,24.1,0.0,Sunny,1,0.2588,0.5163,False,False
2024-02-20,P001,Fresh Milk (1L),Dairy,True,3,27,85.0,63.0,2295.0,Tuesday,False,False,2,2024,8,22.7,0.0,Sunny,1,0.2588,0.4743,False,False
2024-02-21,P001,Fresh Milk (1L),Dairy,True,3,20,85.0,63.0,1700.0,Wednesday,False,False,2,2024,8,22.5,0.0,Sunny,1,0.2588,0.5047,False,False
2024-02-22,P001,Fresh Milk (1L),Dairy,True,3,22,85.0,63.0,1870.0,Thursday,False,False,2,2024,8,20.4,0.0,Sunny,1,0.2588,0.4053,False,False
2024-02-23,P001,Fresh Milk (1L),Dairy,True,3,30,85.0,63.0,2550.0,Friday,False,False,2,2024,8,23.4,0.0,Sunny,1,0.2588,0.4953,False,False
2024-02-24,P001,Fresh Milk (1L),Dairy,True,3,34,85.0,63.0,2890.0,Saturday,True,False,2,2024,8,20.8,0.0,Overcast,1,0.2588,0.4173,False,False
2024-02-25,P001,Fresh Milk (1L),Dairy,True,3,35,85.0,63.0,2975.0,Sunday,True,False,2,2024,8,22.2,0.0,Sunny,1,0.2588,0.4593,False,False
2024-02-26,P001,Fresh Milk (1L),Dairy,True,3,23,85.0,63.0,1955.0,Monday,False,False,2,2024,9,23.0,0.0,Partly Cloudy,1,0.2588,0.4833,False,False
2024-02-27,P001,Fresh Milk (1L),Dairy,True,3,20,85.0,63.0,1700.0,Tuesday,False,False,2,2024,9,22.6,0.0,Sunny,1,0.2588,0.5077,False,False
2024-02-28,P001,Fresh Milk (1L),Dairy,True,3,21,85.0,63.0,1785.0,Wednesday,False,False,2,2024,9,23.3,0.0,Sunny,1,0.2588,0.5105,False,False
2024-02-29,P001,Fresh Milk (1L),Dairy,True,3,20,85.0,63.0,1700.0,Thursday,False,False,2,2024,9,25.0,0.0,Sunny,1,0.2588,0.5797,False,False
2024-03-01,P001,Fresh Milk (1L),Dairy,True,3,16,85.0,63.0,1360.0,Friday,False,False,3,2024,9,22.5,0.0,Sunny,1,0.2588,0.5774,False,False
2024-03-02,P001,Fresh Milk (1L),Dairy,True,3,26,85.0,63.0,2210.0,Saturday,True,False,3,2024,9,20.2,0.0,Sunny,1,0.2588,0.3993,False,False
2024-03-03,P001,Fresh Milk (1L),Dairy,True,3,32,85.0,63.0,2720.0,Sunday,True,False,3,2024,9,20.6,0.0,Overcast,1,0.2588,0.4113,False,False
2024-03-04,P001,Fresh Milk (1L),Dairy,True,3,33,85.0,63.0,2805.0,Monday,False,False,3,2024,10,19.9,0.0,Overcast,1,0.2588,0.3903,False,False
2024-03-05,P001,Fresh Milk (1L),Dairy,True,3,29,85.0,63.0,2465.0,Tuesday,False,False,3,2024,10,21.7,12.1,Heavy Rain,1,0.2588,0.5443,False,False
2024-03-06,P001,Fresh Milk (1L),Dairy,True,3,20,85.0,63.0,1700.0,Wednesday,False,False,3,2024,10,22.5,0.0,Sunny,1,0.2588,0.5047,False,False
2024-03-07,P001,Fresh Milk (1L),Dairy,True,3,25,85.0,63.0,2125.0,Thursday,False,False,3,2024,10,25.0,0.0,Overcast,1,0.2588,0.5433,False,False
2024-03-08,P001,Fresh Milk (1L),Dairy,True,3,23,85.0,63.0,1955.0,Friday,False,False,3,2024,10,22.6,0.0,Overcast,1,0.2588,0.4713,False,False
2024-03-09,P001,Fresh Milk (1L),Dairy,True,3,30,85.0,63.0,2550.0,Saturday,True,False,3,2024,10,18.8,0.0,Partly Cloudy,1,0.2588,0.3573,False,False
2024-03-10,P001,Fresh Milk (1L),Dairy,True,3,32,85.0,63.0,2720.0,Sunday,True,False,3,2024,10,20.8,0.0,Overcast,1,0.2588,0.4173,False,False
2024-03-11,P001,Fresh Milk (1L),Dairy,True,3,29,85.0,63.0,2465.0,Monday,False,False,3,2024,11,21.1,0.0,Sunny,1,0.2588,0.4263,False,False
