product_id,product_name,category,is_perishable,shelf_life_days,unit_price,cost_price,opening_stock,current_stock,avg_daily,std_daily,safety_stock,reorder_point,days_of_stock_remaining,stock_status,reorder_needed,recommended_order_qty,estimated_order_cost_kes,replenishment_priority,priority_label,forecast_date,forecasted_demand_per_day,forecasted_demand_7d,is_forecast_holiday,holiday_name,school_event,school_term,neighbourhood_activity,expected_weather,price_catalogue_as_of,forecast_model
P004,Tomatoes (kg),Vegetables,1,7,120.0,82.0,155,0,20.61,8.07,17.1,58.3,0.0,OUT OF STOCK,True,165,13530.0,1,🔴 URGENT,2026-09-16,20.94,147,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P007,Oranges (kg),Fruits,1,10,180.0,120.0,84,0,10.1,3.33,7.1,27.3,0.0,OUT OF STOCK,True,70,8400.0,1,🔴 URGENT,2026-09-16,8.85,62,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P002,Eggs (tray 30),Dairy,1,14,450.0,345.0,84,1,10.68,4.43,9.4,30.8,0.1,CRITICALLY LOW,True,84,28980.0,1,🔴 URGENT,2026-09-16,10.7,75,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P003,Sliced Bread,Bakery,1,5,75.0,52.0,214,22,25.48,9.02,19.1,70.1,0.9,CRITICALLY LOW,True,174,9048.0,1,🔴 URGENT,2026-09-16,25.08,176,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P013,Salt (500g),Condiments,0,730,55.0,35.0,224,16,26.68,10.26,21.8,75.2,0.6,CRITICALLY LOW,True,167,5845.0,2,🟠 HIGH,2026-09-16,22.99,161,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P011,Cooking Oil (1L),Cooking,0,365,350.0,270.0,181,21,19.55,5.67,12.0,51.1,1.1,CRITICALLY LOW,True,125,33750.0,2,🟠 HIGH,2026-09-16,19.01,134,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P019,Matches (box),Household,0,730,25.0,14.0,382,79,39.0,7.91,16.8,94.8,2.0,CRITICALLY LOW,True,164,2296.0,2,🟠 HIGH,2026-09-16,32.16,226,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P017,Bathing Soap,Personal Care,0,730,130.0,90.0,118,27,12.9,3.64,7.7,33.5,2.1,CRITICALLY LOW,True,77,6930.0,2,🟠 HIGH,2026-09-16,13.58,96,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P016,Black Tea Leaves,Beverages,0,365,100.0,70.0,263,67,30.68,11.18,23.7,85.1,2.2,LOW,True,151,10570.0,3,🟡 MEDIUM,2026-09-16,27.61,194,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P014,Soda (500ml),Beverages,0,180,80.0,56.0,297,76,28.52,6.94,14.7,71.7,2.7,OK,False,0,0.0,4,🟢 OK,2026-09-16,27.69,194,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P006,Bananas (bunch),Fruits,1,5,160.0,108.0,134,43,12.97,5.53,11.7,37.6,3.3,OK,False,0,0.0,4,🟢 OK,2026-09-16,11.64,82,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P018,Washing Powder (500g),Household,0,730,170.0,125.0,111,35,10.39,3.97,8.4,29.2,3.4,OK,False,0,0.0,4,🟢 OK,2026-09-16,11.88,84,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P015,Water (500ml),Beverages,0,365,50.0,30.0,387,129,36.26,10.42,22.1,94.6,3.6,OK,False,0,0.0,4,🟢 OK,2026-09-16,31.95,224,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P020,Mandazi Mix (500g),Bakery,1,7,130.0,90.0,240,75,19.13,6.09,12.9,51.2,3.9,OK,False,0,0.0,4,🟢 OK,2026-09-16,16.42,115,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P005,Onions (kg),Vegetables,1,21,130.0,88.0,167,60,14.71,3.89,8.3,37.7,4.1,OK,False,0,0.0,4,🟢 OK,2026-09-16,13.59,96,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P008,Maize Flour (2kg),Staples,0,180,220.0,165.0,513,185,43.16,12.01,25.5,111.8,4.3,OK,False,0,0.0,4,🟢 OK,2026-09-16,33.82,237,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P001,Fresh Milk (1L),Dairy,1,3,85.0,63.0,410,150,31.74,7.83,16.6,80.1,4.7,OK,False,0,0.0,4,🟢 OK,2026-09-16,28.93,203,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P010,Rice (2kg),Staples,0,365,300.0,225.0,333,133,27.35,7.44,15.8,70.5,4.9,OK,False,0,0.0,4,🟢 OK,2026-09-16,26.79,188,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P009,Wheat Flour (1kg),Staples,0,180,130.0,95.0,403,169,31.06,8.85,18.8,80.9,5.4,OK,False,0,0.0,4,🟢 OK,2026-09-16,28.18,198,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
P012,Sugar (1kg),Condiments,0,730,180.0,135.0,453,219,33.32,9.27,19.7,86.3,6.6,OK,False,0,0.0,4,🟢 OK,2026-09-16,30.63,215,False,,school term 3,school term 3,1,Sunny,2026-09-15,xgboost_demand
