date,product_id,product_name,category,is_perishable,shelf_life_days,quantity_sold,unit_price,cost_price,total_amount,day_of_week,is_weekend,is_holiday,month,year,week_of_year,temperature_avg,rainfall_mm,weather_condition,neighbourhood_activity,profit_margin,spoilage_risk_score,is_quantity_outlier,is_total_amount_outlier,sales_lag_1,sales_lag_7,sales_lag_14,sales_roll_mean_7,sales_roll_std_7,sales_roll_mean_14,day_of_year,day_sin,day_cos,month_sin,month_cos,weekday_num,weekday_sin,weekday_cos,trend_day,revenue_per_unit,category_enc,weather_condition_enc,day_of_week_enc,temperature_avg_scaled,rainfall_mm_scaled,unit_price_scaled,cost_price_scaled,profit_margin_scaled,sales_roll_mean_7_scaled,sales_roll_std_7_scaled,sales_roll_mean_14_scaled,trend_day_scaled,sales_lag_1_scaled,sales_lag_7_scaled,sales_lag_14_scaled
2024-01-01,P001,Fresh Milk (1L),Dairy,1,3,46,85.0,63.0,3910.0,Monday,0,1,1,2024,1,22.5,0.0,Sunny,2,0.2588,0.4683,False,False,46.0,46.0,46.0,46.0,0.0,46.0,1,0.017201575418260506,0.9998520419557735,0.49999999999999994,0.8660254037844387,0,0.0,1.0,0,85.0,4,4,1,1.0528788259305943,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,2.5936165582611848,-2.0334205018584903,2.6360217948338858,-1.729682999479536,2.164647027716353,2.1458756084244284,2.1104803794706175
2024-01-02,P001,Fresh Milk (1L),Dairy,1,3,29,85.0,63.0,2465.0,Tuesday,0,0,1,2024,1,23.1,0.0,Partly Cloudy,2,0.2588,0.4863,False,False,46.0,46.0,46.0,46.0,0.0,46.0,2,0.03439806061360801,0.9994082116062598,0.49999999999999994,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,1,85.0,4,3,5,1.3191184644737826,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,2.5936165582611848,-2.0334205018584903,2.6360217948338858,-1.7249441419467155,2.164647027716353,2.1458756084244284,2.1104803794706175
2024-01-03,P001,Fresh Milk (1L),Dairy,1,3,28,85.0,63.0,2380.0,Wednesday,0,0,1,2024,1,19.1,4.2,Heavy Rain,2,0.2588,0.4663,False,False,29.0,46.0,46.0,37.5,12.020815280171307,37.5,3,0.051584366869408364,0.9986686402879997,0.49999999999999994,0.8660254037844387,2,0.9749279121818236,-0.22252093395631434,2,85.0,4,0,6,-0.45581245914746776,-0.06457542999344976,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.6751349656733519,2.06197579436846,1.7024743193878393,-1.7202052844138949,0.6324296121201786,2.1458756084244284,2.1104803794706175
2024-01-04,P001,Fresh Milk (1L),Dairy,1,3,24,85.0,63.0,2040.0,Thursday,0,0,1,2024,1,21.5,0.0,Sunny,2,0.2588,0.4383,False,False,28.0,46.0,46.0,34.333333333333336,10.115993936995679,34.333333333333336,4,0.06875540848113941,0.9976335468520451,0.49999999999999994,0.8660254037844387,3,0.43388373911755823,-0.900968867902419,3,85.0,4,4,4,0.6091460950252818,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.3329555488269047,1.4130182909049889,1.3546821226530381,-1.7154664268810742,0.542299175908639,2.1458756084244284,2.1104803794706175
2024-01-05,P001,Fresh Milk (1L),Dairy,1,3,30,85.0,63.0,2550.0,Friday,0,0,1,2024,1,20.7,0.0,Sunny,2,0.2588,0.4143,False,False,24.0,46.0,46.0,31.75,9.74251849711699,31.75,5,0.08590610426133272,0.9963032375991965,0.49999999999999994,0.8660254037844387,4,-0.433883739117558,-0.9009688679024191,4,85.0,4,4,0,0.25415991030103147,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.053809182452171,1.2857781746930779,1.0709569095272786,-1.7107275693482535,0.18177743106248015,2.1458756084244284,2.1104803794706175
2024-01-06,P001,Fresh Milk (1L),Dairy,1,3,47,85.0,63.0,3995.0,Saturday,1,0,1,2024,1,23.2,0.0,Partly Cloudy,2,0.2588,0.4893,False,False,30.0,46.0,46.0,31.4,8.473488065725945,31.4,6,0.10303137904317879,0.9946781061893646,0.49999999999999994,0.8660254037844387,5,-0.9749279121818236,-0.2225209339563146,5,85.0,4,3,2,1.363491737564313,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.0159893521691423,0.853429585401378,1.0325167193618532,-1.7059887118154329,0.7225600483317183,2.1458756084244284,2.1104803794706175
2024-01-07,P001,Fresh Milk (1L),Dairy,1,3,40,85.0,63.0,3400.0,Sunday,1,0,1,2024,1,23.7,0.0,Sunny,2,0.2588,0.5043,False,False,47.0,46.0,46.0,34.0,9.899494936611665,34.0,7,0.1201261651823505,0.9927586335250793,0.49999999999999994,0.8660254037844387,6,-0.7818314824680299,0.6234898018587334,6,85.0,4,4,3,1.5853581030169692,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.2969366628430679,1.339258800916645,1.318072417733585,-1.7012498542826122,2.2547774639278932,2.1458756084244284,2.1104803794706175
2024-01-08,P001,Fresh Milk (1L),Dairy,1,3,31,85.0,63.0,2635.0,Monday,0,0,1,2024,2,20.7,0.0,Partly Cloudy,2,0.2588,0.4143,False,False,40.0,46.0,46.0,34.857142857142854,9.317162862670363,34.857142857142854,8,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,0,0.0,1.0,7,85.0,4,3,1,0.25415991030103147,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.389556655372933,1.1408628882261558,1.4122116589550349,-1.6965109967497916,1.6238644104471152,2.1458756084244284,2.1104803794706175
2024-01-09,P001,Fresh Milk (1L),Dairy,1,3,20,85.0,63.0,1700.0,Tuesday,0,0,1,2024,2,20.6,0.0,Overcast,2,0.2588,0.4477,False,False,31.0,29.0,46.0,32.714285714285715,7.952238379104039,34.375,9,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,8,85.0,4,2,5,0.20978663721050111,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.1580066740482697,0.675843956952191,1.3592583357679695,-1.691772139216971,0.812690484543258,0.6225374469385884,2.1104803794706175
2024-01-10,P001,Fresh Milk (1L),Dairy,1,3,25,85.0,63.0,2125.0,Wednesday,0,0,1,2024,2,21.9,0.0,Partly Cloudy,2,0.2588,0.4503,False,False,20.0,28.0,46.0,31.428571428571427,9.271050693011066,32.77777777777778,10,0.17117705961019986,0.985240282501282,0.49999999999999994,0.8660254037844387,2,0.9749279121818236,-0.22252093395631434,9,85.0,4,3,6,0.7866391873874062,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.0190766852534712,1.1251528382476668,1.1838368330289248,-1.6870332816841502,-0.1787443137836786,0.5329293197923626,2.1104803794706175
2024-01-11,P001,Fresh Milk (1L),Dairy,1,3,21,85.0,63.0,1785.0,Thursday,0,0,1,2024,2,21.0,3.7,Heavy Rain,2,0.2588,0.5415,False,False,25.0,24.0,46.0,31.0,9.521904571390467,32.0,11,0.18809941761179758,0.9821499931752291,0.49999999999999994,0.8660254037844387,3,0.43388373911755823,-0.900968867902419,10,85.0,4,0,4,0.3872797295726255,-0.09848680881903295,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.9727666889885387,1.2106167623214192,1.0984141882168683,-1.6822944241513296,0.27190786727401983,0.17449681120745902,2.1104803794706175
2024-01-12,P001,Fresh Milk (1L),Dairy,1,3,30,85.0,63.0,2550.0,Friday,0,0,1,2024,2,21.4,0.0,Sunny,2,0.2588,0.4353,False,False,21.0,30.0,46.0,30.571428571428573,9.9474811360656,31.0,12,0.20496611396949532,0.9787690698649216,0.49999999999999994,0.8660254037844387,4,-0.433883739117558,-0.9009688679024191,11,85.0,4,4,0,0.56477282193475,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.9264566927236061,1.3556073179625578,0.9885850734585099,-1.677555566618509,-0.08861387757213893,0.7121455740848143,2.1104803794706175
2024-01-13,P001,Fresh Milk (1L),Dairy,1,3,41,85.0,63.0,3485.0,Saturday,1,0,1,2024,2,22.8,0.0,Sunny,2,0.2588,0.4773,False,False,30.0,47.0,46.0,30.571428571428573,9.9474811360656,30.916666666666668,13,0.22177215755648186,0.975098513039961,0.49999999999999994,0.8660254037844387,5,-0.9749279121818236,-0.2225209339563146,12,85.0,4,4,2,1.1859986452021885,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.9264566927236061,1.3556073179625578,0.9794326472286468,-1.6728167090856882,0.7225600483317183,2.235483735570654,2.1104803794706175
2024-01-14,P001,Fresh Milk (1L),Dairy,1,3,24,85.0,63.0,2040.0,Sunday,1,0,1,2024,2,22.6,0.0,Partly Cloudy,2,0.2588,0.4713,False,False,41.0,40.0,46.0,29.714285714285715,8.440266301373152,31.692307692307693,14,0.23851257519407648,0.9711394088771653,0.49999999999999994,0.8660254037844387,6,-0.7818314824680299,0.6234898018587334,13,85.0,4,3,3,1.0972520990211263,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.8338367001937406,0.8421111941347736,1.0646206144450658,-1.6680778515528676,1.713994846658655,1.608226845547073,2.1104803794706175
2024-01-15,P001,Fresh Milk (1L),Dairy,1,3,36,85.0,63.0,3060.0,Monday,0,0,1,2024,3,25.2,2.1,Light Rain,1,0.2588,0.6493,False,False,24.0,31.0,46.0,27.428571428571427,7.276838664721167,31.142857142857142,15,0.2551824131233728,0.9668929289391521,0.49999999999999994,0.8660254037844387,0,0.0,1.0,14,85.0,4,1,1,2.250957199374938,-0.20700322106089913,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.5868500534474324,0.4457406383096523,1.0042749469954182,-1.663338994020047,0.18177743106248015,0.8017537012310402,2.1104803794706175
2024-01-16,P001,Fresh Milk (1L),Dairy,1,3,21,85.0,63.0,1785.0,Tuesday,0,0,1,2024,3,20.8,0.0,Sunny,1,0.2588,0.4355,False,False,36.0,20.0,29.0,28.142857142857142,7.904188160474828,30.428571428571427,16,0.2717767384711357,0.9623603298276545,0.49999999999999994,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,15,85.0,4,4,5,0.2985331833915633,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.6640333805556536,0.6594736290817037,0.9258255793108764,-1.6586001364872263,1.2633426656009565,-0.1839356973774445,0.6041502590775727
2024-01-17,P001,Fresh Milk (1L),Dairy,1,3,21,85.0,63.0,1785.0,Wednesday,0,0,1,2024,3,23.7,0.0,Sunny,1,0.2588,0.5225,False,False,21.0,25.0,28.0,28.285714285714285,7.739816658342875,29.857142857142858,17,0.2882906407095177,0.9575429528116719,0.49999999999999994,0.8660254037844387,2,0.9749279121818236,-0.22252093395631434,16,85.0,4,4,6,1.5853581030169692,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.6794700459772979,0.6034735637494572,0.8630660851632432,-1.6538612789544058,-0.08861387757213893,0.26410493835368487,0.5155426049368054
2024-01-18,P001,Fresh Milk (1L),Dairy,1,3,27,85.0,63.0,2295.0,Thursday,0,0,1,2024,3,20.7,0.0,Sunny,1,0.2588,0.4143,False,False,21.0,21.0,24.0,27.714285714285715,8.159131606453505,29.357142857142858,18,0.3047192331091634,0.9524422234305676,0.49999999999999994,0.8660254037844387,3,0.43388373911755823,-0.900968867902419,17,85.0,4,4,4,0.25415991030103147,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.6177233842907212,0.7463308363570433,0.808151527784064,-1.6491224214215852,-0.08861387757213893,-0.09432757023121861,0.161111988373736
2024-01-19,P001,Fresh Milk (1L),Dairy,1,3,25,85.0,63.0,2125.0,Friday,0,0,1,2024,3,23.0,0.0,Sunny,1,0.2588,0.4833,False,False,27.0,30.0,30.0,28.571428571428573,7.634508123364219,29.571428571428573,19,0.321057654185271,0.9470596510722283,0.49999999999999994,0.8660254037844387,4,-0.433883739117558,-0.9009688679024191,18,85.0,4,4,0,1.2747451913832508,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.7103433768205867,0.5675957822462272,0.8316863380894266,-1.6443835638887645,0.4521687396970992,0.7121455740848143,0.69275791321834
2024-01-20,P001,Fresh Milk (1L),Dairy,1,3,39,85.0,63.0,3315.0,Saturday,1,0,1,2024,3,22.8,0.0,Overcast,1,0.2588,0.4773,False,False,25.0,41.0,47.0,27.857142857142858,7.712080813644942,29.214285714285715,20,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,5,-0.9749279121818236,-0.2225209339563146,19,85.0,4,2,2,1.1859986452021885,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.6331600497123653,0.5940241817399018,0.7924616542471558,-1.6396447063559438,0.27190786727401983,1.6978349726932989,2.199088033611385
2024-01-21,P001,Fresh Milk (1L),Dairy,1,3,30,85.0,63.0,2550.0,Sunday,1,0,1,2024,3,22.3,0.0,Sunny,1,0.2588,0.4623,False,False,39.0,24.0,40.0,27.571428571428573,7.161404491139587,28.642857142857142,21,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,6,-0.7818314824680299,0.6234898018587334,20,85.0,4,4,3,0.9641322797495322,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.6022867188690769,0.40641313215257546,0.7297021600995222,-1.6349058488231232,1.5337339742355756,0.17449681120745902,1.5788344546260136
2024-01-22,P001,Fresh Milk (1L),Dairy,1,3,17,85.0,63.0,1445.0,Monday,0,0,1,2024,4,22.3,0.0,Partly Cloudy,1,0.2588,0.5532,False,False,30.0,36.0,31.0,28.428571428571427,7.020378500174634,27.928571428571427,22,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,0,0.0,1.0,21,85.0,4,3,1,0.9641322797495322,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.6949067113989421,0.35836669706407526,0.6512527924149804,-1.6301669912903025,0.7225600483317183,1.2497943369621696,0.7813655673591074
2024-01-23,P001,Fresh Milk (1L),Dairy,1,3,19,85.0,63.0,1615.0,Tuesday,0,0,1,2024,4,22.3,0.0,Sunny,1,0.2588,0.5169,False,False,17.0,21.0,20.0,25.714285714285715,7.273565968956482,26.928571428571427,23,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,22,85.0,4,4,5,0.9641322797495322,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.40161006838770164,0.44462565685448624,0.5414236776566219,-1.6254281337574819,-0.4491356224182977,-0.09432757023121861,-0.19331862818933335
2024-01-24,P001,Fresh Milk (1L),Dairy,1,3,30,85.0,63.0,2550.0,Wednesday,0,0,1,2024,4,22.1,0.0,Partly Cloudy,1,0.2588,0.4563,False,False,19.0,21.0,25.0,25.428571428571427,7.5245629520290125,26.857142857142858,24,0.4012289854475009,0.9159777842484877,0.49999999999999994,0.8660254037844387,2,0.9749279121818236,-0.22252093395631434,23,85.0,4,3,6,0.87538573356847,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.3707367375444129,0.5301383355606457,0.533578740888168,-1.6206892762246612,-0.2688747499952183,-0.09432757023121861,0.24971964251450335
2024-01-25,P001,Fresh Milk (1L),Dairy,1,3,27,85.0,63.0,2295.0,Thursday,0,0,1,2024,4,22.9,0.0,Partly Cloudy,1,0.2588,0.4803,False,False,30.0,27.0,21.0,26.714285714285715,7.409774753982868,27.214285714285715,25,0.4169258813287287,0.908940487313808,0.49999999999999994,0.8660254037844387,3,0.43388373911755823,-0.900968867902419,24,85.0,4,3,4,1.2303719182927189,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.5096667263392114,0.49103090813813166,0.5728034247304389,-1.6159504186918405,0.7225600483317183,0.4433211926461367,-0.10471097404856601
2024-01-26,P001,Fresh Milk (1L),Dairy,1,3,24,85.0,63.0,2040.0,Friday,0,0,1,2024,4,21.5,0.0,Sunny,1,0.2588,0.4383,False,False,27.0,25.0,30.0,26.714285714285715,7.409774753982868,27.642857142857142,26,0.4324994021339788,0.901634220265486,0.49999999999999994,0.8660254037844387,4,-0.433883739117558,-0.9009688679024191,25,85.0,4,4,0,0.6091460950252818,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.5096667263392114,0.49103090813813166,0.6198730453411638,-1.6112115611590199,0.4521687396970992,0.26410493835368487,0.69275791321834
2024-01-27,P001,Fresh Milk (1L),Dairy,1,3,29,85.0,63.0,2465.0,Saturday,1,0,1,2024,4,21.0,0.0,Sunny,1,0.2588,0.4233,False,False,24.0,39.0,41.0,26.571428571428573,7.457817885886432,27.214285714285715,27,0.44794493940789115,0.8940611451454876,0.49999999999999994,0.8660254037844387,5,-0.9749279121818236,-0.2225209339563146,26,85.0,4,4,2,0.3872797295726255,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.49423006091756716,0.507398821617474,0.5728034247304389,-1.6064727036261992,0.18177743106248015,1.5186187184008473,1.6674421087667808
2024-01-28,P001,Fresh Milk (1L),Dairy,1,3,40,85.0,63.0,3400.0,Sunday,1,0,1,2024,4,24.2,0.0,Partly Cloudy,1,0.2588,0.5193,False,False,29.0,30.0,24.0,25.142857142857142,5.336308693862305,26.357142857142858,28,0.4632579225674917,0.88622350294858,0.49999999999999994,0.8660254037844387,6,-0.7818314824680299,0.6234898018587334,27,85.0,4,3,3,1.8072244684696255,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.33986340670112447,-0.21538251100634956,0.4786641835089888,-1.6017338460933785,0.6324296121201786,0.7121455740848143,0.161111988373736
2024-01-29,P001,Fresh Milk (1L),Dairy,1,3,31,85.0,63.0,2635.0,Monday,0,0,1,2024,5,23.5,0.0,Partly Cloudy,1,0.2588,0.4983,False,False,40.0,17.0,36.0,26.571428571428573,7.6780453861891775,27.5,29,0.4784338202547012,0.8781236129591848,0.49999999999999994,0.8660254037844387,0,0.0,1.0,28,85.0,4,3,1,1.496611556835907,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.49423006091756716,0.5824285819162555,0.6041831718042555,-1.5969949885605579,1.6238644104471152,-0.4527600788161221,1.224403838062944
2024-01-30,P001,Fresh Milk (1L),Dairy,1,3,22,85.0,63.0,1870.0,Tuesday,0,0,1,2024,5,21.5,0.0,Partly Cloudy,1,0.2588,0.4383,False,False,31.0,19.0,21.0,28.571428571428573,6.502746672423451,27.142857142857142,30,0.49346814167723735,0.8697638720650646,0.49999999999999994,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,29,85.0,4,3,5,0.6091460950252818,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.7103433768205867,0.18201364439898426,0.5649584879619846,-1.5922561310277372,0.812690484543258,-0.2735438245236704,-0.10471097404856601
2024-01-31,P001,Fresh Milk (1L),Dairy,1,3,33,85.0,63.0,2805.0,Wednesday,0,0,1,2024,5,22.9,0.0,Partly Cloudy,1,0.2588,0.4803,False,False,22.0,30.0,21.0,29.0,5.8309518948453,27.214285714285715,31,0.5083564379375122,0.8611467540480452,0.49999999999999994,0.8660254037844387,2,0.9749279121818236,-0.22252093395631434,30,85.0,4,3,6,1.2303719182927189,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.7566533730855192,-0.046861500904717725,0.5728034247304389,-1.5875172734949166,0.0015165586394007644,0.7121455740848143,-0.10471097404856601
2024-02-01,P001,Fresh Milk (1L),Dairy,1,3,22,85.0,63.0,1870.0,Thursday,0,0,2,2024,5,24.2,0.0,Sunny,1,0.2588,0.5193,False,False,33.0,27.0,27.0,29.428571428571427,6.023762469230862,28.071428571428573,32,0.5230943033491326,0.8522748088519838,0.8660254037844386,0.5000000000000001,3,0.43388373911755823,-0.900968867902419,31,85.0,4,4,4,1.8072244684696255,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.8029633693504518,0.018827530480245717,0.666942665951889,-1.5827784159620961,0.9929513569663374,0.4433211926461367,0.42693495079603805
2024-02-02,P001,Fresh Milk (1L),Dairy,1,3,27,85.0,63.0,2295.0,Friday,0,0,2,2024,5,22.3,0.0,Sunny,1,0.2588,0.4623,False,False,22.0,24.0,25.0,28.714285714285715,6.626066850308854,27.714285714285715,33,0.5376773767406141,0.8431506618282,0.8660254037844386,0.5000000000000001,4,-0.433883739117558,-0.9009688679024191,32,85.0,4,4,0,0.9641322797495322,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,0.7257800422422308,0.2240278495914569,0.6277179821096182,-1.5780395584292755,0.0015165586394007644,0.17449681120745902,0.24971964251450335
