date,product_id,product_name,category,is_perishable,shelf_life_days,quantity_sold,unit_price,cost_price,total_amount,day_of_week,is_weekend,is_holiday,month,year,week_of_year,temperature_avg,rainfall_mm,weather_condition,neighbourhood_activity,profit_margin,spoilage_risk_score,is_quantity_outlier,is_total_amount_outlier,sales_lag_1,sales_lag_7,sales_lag_14,sales_roll_mean_7,sales_roll_std_7,sales_roll_mean_14,day_of_year,day_sin,day_cos,month_sin,month_cos,weekday_num,weekday_sin,weekday_cos,trend_day,revenue_per_unit,category_enc,weather_condition_enc,day_of_week_enc,temperature_avg_scaled,rainfall_mm_scaled,unit_price_scaled,cost_price_scaled,profit_margin_scaled,sales_roll_mean_7_scaled,sales_roll_std_7_scaled,sales_roll_mean_14_scaled,trend_day_scaled,sales_lag_1_scaled,sales_lag_7_scaled,sales_lag_14_scaled
2024-01-01,P001,Fresh Milk (1L),Dairy,1,3,36,65.0,48.0,2340.0,Monday,0,1,1,2024,1,22.5,0.0,Sunny,0,0.2615,0.4683,False,False,36.0,36.0,36.0,36.0,0.0,36.0,1,0.017201575418260506,0.9998520419557735,0.49999999999999994,0.8660254037844387,0,0.0,1.0,0,65.0,4,4,1,1.0528788259305943,-0.3494310121283485,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,1.8054272904883364,-2.0515348119763552,1.8424340147725018,-1.729682999479536,1.5052139008124632,1.502733420808226,1.4830576374073978
2024-01-02,P001,Fresh Milk (1L),Dairy,1,3,26,65.0,48.0,1690.0,Tuesday,0,0,1,2024,1,23.1,0.0,Partly Cloudy,1,0.2615,0.4863,False,False,36.0,36.0,36.0,36.0,0.0,36.0,2,0.03439806061360801,0.9994082116062598,0.49999999999999994,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,1,65.0,4,3,5,1.3191184644737826,-0.3494310121283485,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,1.8054272904883364,-2.0515348119763552,1.8424340147725018,-1.7249441419467155,1.5052139008124632,1.502733420808226,1.4830576374073978
2024-01-03,P001,Fresh Milk (1L),Dairy,1,3,28,65.0,48.0,1820.0,Wednesday,0,0,1,2024,1,19.1,4.2,Heavy Rain,2,0.2615,0.4663,False,False,26.0,36.0,36.0,31.0,7.0710678118654755,31.0,3,0.051584366869408364,0.9986686402879997,0.49999999999999994,0.8660254037844387,2,0.9749279121818236,-0.22252093395631434,2,65.0,4,0,6,-0.45581245914746776,-0.06457542999344976,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,1.2283519488027086,0.55241319210783,1.2538757148692654,-1.7202052844138949,0.5425323125801808,1.502733420808226,1.4830576374073978
2024-01-04,P001,Fresh Milk (1L),Dairy,1,3,24,65.0,48.0,1560.0,Thursday,0,0,1,2024,1,21.5,0.0,Sunny,2,0.2615,0.4383,False,False,28.0,36.0,36.0,30.0,5.291502622129181,30.0,4,0.06875540848113941,0.9976335468520451,0.49999999999999994,0.8660254037844387,3,0.43388373911755823,-0.900968867902419,3,65.0,4,4,4,0.6091460950252818,-0.3494310121283485,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,1.1129368804655828,-0.10291855512498459,1.136164054888618,-1.7154664268810742,0.7350686302266373,1.502733420808226,1.4830576374073978
2024-01-05,P001,Fresh Milk (1L),Dairy,1,3,30,65.0,48.0,1950.0,Friday,0,0,1,2024,1,20.7,0.0,Sunny,2,0.2615,0.4143,False,False,24.0,36.0,36.0,28.5,5.259911279353167,28.5,5,0.08590610426133272,0.9963032375991965,0.49999999999999994,0.8660254037844387,4,-0.433883739117558,-0.9009688679024191,4,65.0,4,4,0,0.25415991030103147,-0.3494310121283485,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,0.9398142779598946,-0.11455218899141469,0.9595965649176472,-1.7107275693482535,0.3499959949337243,1.502733420808226,1.4830576374073978
2024-01-06,P001,Fresh Milk (1L),Dairy,1,3,47,65.0,48.0,3055.0,Saturday,1,0,1,2024,1,23.2,0.0,Partly Cloudy,2,0.2615,0.4893,False,False,30.0,36.0,36.0,28.8,4.604345773288535,28.8,6,0.10303137904317879,0.9946781061893646,0.49999999999999994,0.8660254037844387,5,-0.9749279121818236,-0.2225209339563146,5,65.0,4,3,2,1.363491737564313,-0.3494310121283485,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,0.9744387984610323,-0.35596671597402113,0.9949100629118415,-1.7059887118154329,0.9276049478730938,1.502733420808226,1.4830576374073978
2024-01-07,P001,Fresh Milk (1L),Dairy,1,3,40,65.0,48.0,2600.0,Sunday,1,0,1,2024,1,23.7,0.0,Sunny,2,0.2615,0.5043,False,False,47.0,36.0,36.0,31.833333333333332,8.495096624916439,31.833333333333332,7,0.1201261651823505,0.9927586335250793,0.49999999999999994,0.8660254037844387,6,-0.7818314824680299,0.6234898018587334,6,65.0,4,4,3,1.5853581030169692,-0.3494310121283485,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,1.3245311724169797,1.0768172968570622,1.351968764853138,-1.7012498542826122,2.5641636478679737,1.502733420808226,1.4830576374073978
2024-01-08,P001,Fresh Milk (1L),Dairy,1,3,31,65.0,48.0,2015.0,Monday,0,0,1,2024,2,20.7,0.0,Partly Cloudy,2,0.2615,0.4143,False,False,40.0,36.0,36.0,33.0,8.34665601703261,33.0,8,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,0,0.0,1.0,7,65.0,4,3,1,0.25415991030103147,-0.3494310121283485,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,1.4591820854769597,1.0221534702741055,1.48929903483056,-1.6965109967497916,1.8902865361053762,1.502733420808226,1.4830576374073978
2024-01-09,P001,Fresh Milk (1L),Dairy,1,3,20,65.0,48.0,1300.0,Tuesday,0,0,1,2024,2,20.6,0.0,Overcast,2,0.2615,0.4477,False,False,31.0,26.0,36.0,32.285714285714285,8.26063528053958,32.75,9,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,8,65.0,4,2,5,0.20978663721050111,-0.3494310121283485,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,1.3767427509504413,0.9904760021659639,1.4598711198353982,-1.691772139216971,1.023873106696322,0.5418988616594533,1.4830576374073978
2024-01-10,P001,Fresh Milk (1L),Dairy,1,3,19,65.0,48.0,1235.0,Wednesday,0,0,1,2024,2,21.9,0.0,Partly Cloudy,0,0.2615,0.5049,False,False,20.0,28.0,36.0,31.428571428571427,9.271050693011064,31.333333333333332,10,0.17117705961019986,0.985240282501282,0.49999999999999994,0.8660254037844387,2,0.9749279121818236,-0.22252093395631434,9,65.0,4,3,6,0.7866391873874062,-0.3494310121283485,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,1.2778155495186192,1.3625653763034886,1.2931129348628143,-1.6870332816841502,-0.03507664035918867,0.7340657734892079,1.4830576374073978
2024-01-11,P001,Fresh Milk (1L),Dairy,1,3,16,65.0,48.0,1040.0,Thursday,0,0,1,2024,2,21.0,3.7,Heavy Rain,0,0.2615,0.6324,False,False,19.0,24.0,36.0,30.142857142857142,10.383136511166736,30.1,11,0.18809941761179758,0.9821499931752291,0.49999999999999994,0.8660254037844387,3,0.43388373911755823,-0.900968867902419,10,65.0,4,0,4,0.3872797295726255,-0.09848680881903295,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,1.1294247473708865,1.7720952696100585,1.147935220886683,-1.6822944241513296,-0.1313447991824169,0.34973194982969874,1.4830576374073978
2024-01-12,P001,Fresh Milk (1L),Dairy,1,3,27,65.0,48.0,1755.0,Friday,0,0,1,2024,2,21.4,0.0,Sunny,1,0.2615,0.4353,False,False,16.0,30.0,36.0,29.0,11.547005383792513,28.818181818181817,12,0.20496611396949532,0.9787690698649216,0.49999999999999994,0.8660254037844387,4,-0.433883739117558,-0.9009688679024191,11,65.0,4,4,0,0.56477282193475,-0.3494310121283485,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,0.9975218121284574,2.200694472520271,0.9970502749114893,-1.677555566618509,-0.42014927565210164,0.9262326853189624,1.4830576374073978
2024-01-13,P001,Fresh Milk (1L),Dairy,1,3,32,65.0,48.0,2080.0,Saturday,1,0,1,2024,2,22.8,0.0,Sunny,0,0.2615,0.4773,False,False,27.0,47.0,36.0,28.571428571428573,11.55937055462137,28.666666666666668,13,0.22177215755648186,0.975098513039961,0.49999999999999994,0.8660254037844387,5,-0.9749279121818236,-0.2225209339563146,12,65.0,4,4,2,1.1859986452021885,-0.3494310121283485,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,0.9480582114125465,2.2052479943866476,0.9792151749144219,-1.6728167090856882,0.638800471403409,2.559651435871876,1.4830576374073978
2024-01-14,P001,Fresh Milk (1L),Dairy,1,3,17,65.0,48.0,1105.0,Sunday,1,0,1,2024,2,22.6,0.0,Partly Cloudy,0,0.2615,0.5622,False,False,32.0,40.0,36.0,26.428571428571427,8.580154288767046,28.923076923076923,14,0.23851257519407648,0.9711394088771653,0.49999999999999994,0.8660254037844387,6,-0.7818314824680299,0.6234898018587334,13,65.0,4,3,3,1.0972520990211263,-0.3494310121283485,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,0.7007402078329914,1.1081401097488,1.0093976518325365,-1.6680778515528676,1.1201412655195502,1.8870672444677352,1.4830576374073978
2024-01-15,P001,Fresh Milk (1L),Dairy,1,3,32,65.0,48.0,2080.0,Monday,0,0,1,2024,3,25.2,2.1,Light Rain,0,0.2615,0.6493,False,False,17.0,31.0,36.0,23.142857142857142,6.7188434378884745,28.071428571428573,15,0.2551824131233728,0.9668929289391521,0.49999999999999994,0.8660254037844387,0,0.0,1.0,14,65.0,4,1,1,2.250957199374938,-0.20700322106089913,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,0.32151926901100736,0.42270520740031997,0.9091487106402272,-1.663338994020047,-0.3238811168288734,1.0223161412338397,1.4830576374073978
2024-01-16,P001,Fresh Milk (1L),Dairy,1,3,21,65.0,48.0,1365.0,Tuesday,0,0,1,2024,3,20.8,0.0,Sunny,1,0.2615,0.4355,False,False,32.0,20.0,26.0,23.285714285714285,6.9213266000645985,27.785714285714285,16,0.2717767384711357,0.9623603298276545,0.49999999999999994,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,15,65.0,4,4,5,0.2985331833915633,-0.3494310121283485,-0.5862987924219776,-0.5207572780177614,-0.8038587194383824,0.338007135916311,0.4972704131142888,0.8755168077886133,-1.6586001364872263,1.1201412655195502,-0.034601873829810316,0.5313364402053649
