date,product_id,product_name,category,is_perishable,shelf_life_days,quantity_sold,unit_price,cost_price,total_amount,day_of_week,is_weekend,is_holiday,month,year,week_of_year,temperature_avg,rainfall_mm,weather_condition,neighbourhood_activity,profit_margin,spoilage_risk_score,is_quantity_outlier,is_total_amount_outlier
2024-01-01,P001,Fresh Milk (1L),Dairy,True,3,36,65.0,48.0,2340.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,0,0.2615,0.4683,False,False
2024-01-02,P001,Fresh Milk (1L),Dairy,True,3,26,65.0,48.0,1690.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,1,0.2615,0.4863,False,False
2024-01-03,P001,Fresh Milk (1L),Dairy,True,3,28,65.0,48.0,1820.0,Wednesday,False,False,1,2024,1,19.1,4.2,Heavy Rain,2,0.2615,0.4663,False,False
2024-01-04,P001,Fresh Milk (1L),Dairy,True,3,24,65.0,48.0,1560.0,Thursday,False,False,1,2024,1,21.5,0.0,Sunny,2,0.2615,0.4383,False,False
2024-01-05,P001,Fresh Milk (1L),Dairy,True,3,30,65.0,48.0,1950.0,Friday,False,False,1,2024,1,20.7,0.0,Sunny,2,0.2615,0.4143,False,False
2024-01-06,P001,Fresh Milk (1L),Dairy,True,3,47,65.0,48.0,3055.0,Saturday,True,False,1,2024,1,23.2,0.0,Partly Cloudy,2,0.2615,0.4893,False,False
2024-01-07,P001,Fresh Milk (1L),Dairy,True,3,40,65.0,48.0,2600.0,Sunday,True,False,1,2024,1,23.7,0.0,Sunny,2,0.2615,0.5043,False,False
2024-01-08,P001,Fresh Milk (1L),Dairy,True,3,31,65.0,48.0,2015.0,Monday,False,False,1,2024,2,20.7,0.0,Partly Cloudy,2,0.2615,0.4143,False,False
2024-01-09,P001,Fresh Milk (1L),Dairy,True,3,20,65.0,48.0,1300.0,Tuesday,False,False,1,2024,2,20.6,0.0,Overcast,2,0.2615,0.4477,False,False
2024-01-10,P001,Fresh Milk (1L),Dairy,True,3,19,65.0,48.0,1235.0,Wednesday,False,False,1,2024,2,21.9,0.0,Partly Cloudy,0,0.2615,0.5049,False,False
2024-01-11,P001,Fresh Milk (1L),Dairy,True,3,16,65.0,48.0,1040.0,Thursday,False,False,1,2024,2,21.0,3.7,Heavy Rain,0,0.2615,0.6324,False,False
2024-01-12,P001,Fresh Milk (1L),Dairy,True,3,27,65.0,48.0,1755.0,Friday,False,False,1,2024,2,21.4,0.0,Sunny,1,0.2615,0.4353,False,False
2024-01-13,P001,Fresh Milk (1L),Dairy,True,3,32,65.0,48.0,2080.0,Saturday,True,False,1,2024,2,22.8,0.0,Sunny,0,0.2615,0.4773,False,False
2024-01-14,P001,Fresh Milk (1L),Dairy,True,3,17,65.0,48.0,1105.0,Sunday,True,False,1,2024,2,22.6,0.0,Partly Cloudy,0,0.2615,0.5622,False,False
2024-01-15,P001,Fresh Milk (1L),Dairy,True,3,32,65.0,48.0,2080.0,Monday,False,False,1,2024,3,25.2,2.1,Light Rain,0,0.2615,0.6493,False,False
2024-01-16,P001,Fresh Milk (1L),Dairy,True,3,21,65.0,48.0,1365.0,Tuesday,False,False,1,2024,3,20.8,0.0,Sunny,1,0.2615,0.4355,False,False
2024-01-17,P001,Fresh Milk (1L),Dairy,True,3,18,65.0,48.0,1170.0,Wednesday,False,False,1,2024,3,23.7,0.0,Sunny,0,0.2615,0.5771,False,False
2024-01-18,P001,Fresh Milk (1L),Dairy,True,3,24,65.0,48.0,1560.0,Thursday,False,False,1,2024,3,20.7,0.0,Sunny,0,0.2615,0.4143,False,False
2024-01-19,P001,Fresh Milk (1L),Dairy,True,3,25,65.0,48.0,1625.0,Friday,False,False,1,2024,3,23.0,0.0,Sunny,1,0.2615,0.4833,False,False
2024-01-20,P001,Fresh Milk (1L),Dairy,True,3,34,65.0,48.0,2210.0,Saturday,True,False,1,2024,3,22.8,0.0,Overcast,0,0.2615,0.4773,False,False
2024-01-21,P001,Fresh Milk (1L),Dairy,True,3,26,65.0,48.0,1690.0,Sunday,True,False,1,2024,3,22.3,0.0,Sunny,0,0.2615,0.4623,False,False
2024-01-22,P001,Fresh Milk (1L),Dairy,True,3,14,65.0,48.0,910.0,Monday,False,False,1,2024,4,22.3,0.0,Partly Cloudy,0,0.2615,0.6078,False,False
2024-01-23,P001,Fresh Milk (1L),Dairy,True,3,19,65.0,48.0,1235.0,Tuesday,False,False,1,2024,4,22.3,0.0,Sunny,1,0.2615,0.5169,False,False
2024-01-24,P001,Fresh Milk (1L),Dairy,True,3,26,65.0,48.0,1690.0,Wednesday,False,False,1,2024,4,22.1,0.0,Partly Cloudy,0,0.2615,0.4563,False,False
2024-01-25,P001,Fresh Milk (1L),Dairy,True,3,24,65.0,48.0,1560.0,Thursday,False,False,1,2024,4,22.9,0.0,Partly Cloudy,0,0.2615,0.4803,False,False
2024-01-26,P001,Fresh Milk (1L),Dairy,True,3,24,65.0,48.0,1560.0,Friday,False,False,1,2024,4,21.5,0.0,Sunny,1,0.2615,0.4383,False,False
2024-01-27,P001,Fresh Milk (1L),Dairy,True,3,23,65.0,48.0,1495.0,Saturday,True,False,1,2024,4,21.0,0.0,Sunny,0,0.2615,0.4233,False,False
2024-01-28,P001,Fresh Milk (1L),Dairy,True,3,26,65.0,48.0,1690.0,Sunday,True,False,1,2024,4,24.2,0.0,Partly Cloudy,1,0.2615,0.5193,False,False
2024-01-29,P001,Fresh Milk (1L),Dairy,True,3,23,65.0,48.0,1495.0,Monday,False,False,1,2024,5,23.5,0.0,Partly Cloudy,1,0.2615,0.4983,False,False
2024-01-30,P001,Fresh Milk (1L),Dairy,True,3,22,65.0,48.0,1430.0,Tuesday,False,False,1,2024,5,21.5,0.0,Partly Cloudy,1,0.2615,0.4383,False,False
2024-01-31,P001,Fresh Milk (1L),Dairy,True,3,33,65.0,48.0,2145.0,Wednesday,False,False,1,2024,5,22.9,0.0,Partly Cloudy,1,0.2615,0.4803,False,False
2024-02-01,P001,Fresh Milk (1L),Dairy,True,3,19,65.0,48.0,1235.0,Thursday,False,False,2,2024,5,24.2,0.0,Sunny,0,0.2615,0.5739,False,False
2024-02-02,P001,Fresh Milk (1L),Dairy,True,3,27,65.0,48.0,1755.0,Friday,False,False,2,2024,5,22.3,0.0,Sunny,1,0.2615,0.4623,False,False
2024-02-03,P001,Fresh Milk (1L),Dairy,True,3,32,65.0,48.0,2080.0,Saturday,True,False,2,2024,5,22.7,0.0,Overcast,0,0.2615,0.4743,False,False
2024-02-04,P001,Fresh Milk (1L),Dairy,True,3,19,65.0,48.0,1235.0,Sunday,True,False,2,2024,5,21.3,0.0,Sunny,0,0.2615,0.4869,False,False
2024-02-05,P001,Fresh Milk (1L),Dairy,True,3,14,65.0,48.0,910.0,Monday,False,False,2,2024,6,23.7,0.0,Sunny,0,0.2615,0.6498,False,False
2024-02-06,P001,Fresh Milk (1L),Dairy,True,3,29,65.0,48.0,1885.0,Tuesday,False,False,2,2024,6,24.0,0.0,Partly Cloudy,1,0.2615,0.5133,False,False
2024-02-07,P001,Fresh Milk (1L),Dairy,True,3,23,65.0,48.0,1495.0,Wednesday,False,False,2,2024,6,23.2,0.0,Partly Cloudy,0,0.2615,0.4893,False,False
2024-02-08,P001,Fresh Milk (1L),Dairy,True,3,22,65.0,48.0,1430.0,Thursday,False,False,2,2024,6,22.5,0.0,Overcast,0,0.2615,0.4683,False,False
2024-02-09,P001,Fresh Milk (1L),Dairy,True,3,25,65.0,48.0,1625.0,Friday,False,False,2,2024,6,22.0,0.0,Sunny,1,0.2615,0.4533,False,False
2024-02-10,P001,Fresh Milk (1L),Dairy,True,3,33,65.0,48.0,2145.0,Saturday,True,False,2,2024,6,22.4,0.0,Partly Cloudy,0,0.2615,0.4653,False,False
2024-02-11,P001,Fresh Milk (1L),Dairy,True,3,28,65.0,48.0,1820.0,Sunday,True,False,2,2024,6,23.7,0.0,Sunny,0,0.2615,0.5043,False,False
2024-02-12,P001,Fresh Milk (1L),Dairy,True,3,21,65.0,48.0,1365.0,Monday,False,False,2,2024,7,23.0,0.0,Sunny,0,0.2615,0.5015,False,False
2024-02-13,P001,Fresh Milk (1L),Dairy,True,3,17,65.0,48.0,1105.0,Tuesday,False,False,2,2024,7,23.7,0.0,Sunny,1,0.2615,0.5952,False,False
2024-02-14,P001,Fresh Milk (1L),Dairy,True,3,26,65.0,48.0,1690.0,Wednesday,False,False,2,2024,7,22.9,0.0,Sunny,0,0.2615,0.4803,False,False
2024-02-15,P001,Fresh Milk (1L),Dairy,True,3,23,65.0,48.0,1495.0,Thursday,False,False,2,2024,7,22.9,0.0,Sunny,0,0.2615,0.4803,False,False
2024-02-16,P001,Fresh Milk (1L),Dairy,True,3,20,65.0,48.0,1300.0,Friday,False,False,2,2024,7,20.8,0.0,Sunny,1,0.2615,0.4537,False,False
2024-02-17,P001,Fresh Milk (1L),Dairy,True,3,31,65.0,48.0,2015.0,Saturday,True,False,2,2024,7,21.5,15.4,Light Rain,0,0.2615,0.5383,False,False
2024-02-18,P001,Fresh Milk (1L),Dairy,True,3,29,65.0,48.0,1885.0,Sunday,True,False,2,2024,7,22.4,9.3,Light Rain,0,0.2615,0.5653,False,False
2024-02-19,P001,Fresh Milk (1L),Dairy,True,3,19,65.0,48.0,1235.0,Monday,False,False,2,2024,8,24.1,0.0,Sunny,0,0.2615,0.5709,False,False
2024-02-20,P001,Fresh Milk (1L),Dairy,True,3,27,65.0,48.0,1755.0,Tuesday,False,False,2,2024,8,22.7,0.0,Sunny,1,0.2615,0.4743,False,False
2024-02-21,P001,Fresh Milk (1L),Dairy,True,3,17,65.0,48.0,1105.0,Wednesday,False,False,2,2024,8,22.5,0.0,Sunny,0,0.2615,0.5592,False,False
2024-02-22,P001,Fresh Milk (1L),Dairy,True,3,19,65.0,48.0,1235.0,Thursday,False,False,2,2024,8,20.4,0.0,Sunny,0,0.2615,0.4599,False,False
2024-02-23,P001,Fresh Milk (1L),Dairy,True,3,30,65.0,48.0,1950.0,Friday,False,False,2,2024,8,23.4,0.0,Sunny,1,0.2615,0.4953,False,False
2024-02-24,P001,Fresh Milk (1L),Dairy,True,3,29,65.0,48.0,1885.0,Saturday,True,False,2,2024,8,20.8,0.0,Overcast,0,0.2615,0.4173,False,False
2024-02-25,P001,Fresh Milk (1L),Dairy,True,3,31,65.0,48.0,2015.0,Sunday,True,False,2,2024,8,22.2,0.0,Sunny,0,0.2615,0.4593,False,False
2024-02-26,P001,Fresh Milk (1L),Dairy,True,3,20,65.0,48.0,1300.0,Monday,False,False,2,2024,9,23.0,0.0,Partly Cloudy,0,0.2615,0.5197,False,False
2024-02-27,P001,Fresh Milk (1L),Dairy,True,3,20,65.0,48.0,1300.0,Tuesday,False,False,2,2024,9,22.6,0.0,Sunny,1,0.2615,0.5077,False,False
2024-02-28,P001,Fresh Milk (1L),Dairy,True,3,21,65.0,48.0,1365.0,Wednesday,False,False,2,2024,9,23.3,0.0,Sunny,1,0.2615,0.5105,False,False
